Bundestagswahl 2013
Endgültig
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;
;;;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
1;Flensburg - Schleswig;1;226944;225216;;;162749;163329;;;2223;4117;2113;4181;160526;159212;160636;159148;68235;61793;61347;51068;59718;52139;52396;41793;3039;15292;8065;24187;7436;11918;9084;13481;12491;16399;15734;21967;;;;;3418;;3183;3385;955;1302;929;1240;;;1459;;;;;;;;;;;;;;;;;;;;790;1821;;;;;;;;;;;;;;;;;;;44;47;;;;;;;;;5234;;6563;;;;;;;;;;;;;;;;;;;;1042;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;369;;159;
2;Nordfriesland - Dithmarschen Nord;1;186177;187047;;;131527;134671;;;1648;3382;1483;3218;129879;131289;130044;131453;64678;56751;56383;47947;41714;36642;38590;32239;3172;15184;8321;22605;4653;8208;5733;8836;8465;12840;10547;14927;;;;;2467;;2413;2233;757;1231;733;1126;;;969;;;;;;;;;;;;;;;;;;;;561;1293;;;;;;;;;;;;;;;;;;;45;53;;;;;;;;;3973;;4994;;;;;;;;;;;;;;;;;;;;755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;433;;194;
3;Steinburg - Dithmarschen Süd;1;176731;177604;;;126409;128320;;;1523;3348;1451;3030;124886;124972;124958;125290;56669;49779;52408;43480;42476;37277;37502;31282;6324;16037;7689;21970;4909;8896;6286;9808;6386;10665;9485;12899;;;;;2674;;2709;2549;980;1603;1038;1512;;;930;;;;;;;;;;;;;;;;;;;;516;1604;;;;;;;;;;;;;;;;;;;34;44;;;;;;;;;4468;;5492;;;;;;;;;;;;;;;;;;;;869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;715;;142;
4;Rendsburg-Eckernförde;1;198903;198910;;;149583;150018;;;1743;3404;1616;3026;147840;146614;147967;146992;66775;58876;60349;49789;54397;47610;46658;39253;2754;14317;8126;23442;4902;8729;6447;9821;10306;14790;13707;18751;;;;;2756;;2620;2985;866;1344;854;1220;;;1290;;;;;;;;;;;;;;;;;;;;668;1540;;;;;;;;;;;;;;;;;;;32;55;;;;;;;;;5084;;6500;;;;;;;;;;;;;;;;;;;;716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;948;;136;
5;Kiel;1;205243;200347;;;146452;145483;;;1674;3442;1483;2263;144778;142041;144969;143220;47925;42733;43893;36397;62271;54398;50262;42369;3069;12188;7708;19156;7622;11817;10023;13430;14435;18699;20394;24659;;;;;3575;;3946;4267;834;1392;802;1275;;;1201;;;;;;;;;;;;;;;;;;920;;817;1448;;;;;;;;;;;;;;;;;;;71;80;;;;;;;;;4040;;5379;;;;;;;;;;;;;;;;;;;;473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;814;;139;
6;Plön - Neumünster;1;174746;175132;;;127093;127971;;;1681;3292;1520;3031;125412;124679;125573;124940;54833;48136;48683;40110;47085;41683;41094;35557;2322;12515;6722;19772;4708;7871;5987;8936;7979;12187;11577;15701;;;;;2167;;2154;2281;1162;1363;1159;1315;;;1004;;;;;;;;;;;;;;;;;;;;535;1095;;;;;;;;;;;;;;;;;;;46;42;;;;;;;;;4837;;5901;;;;;;;;;;;;;;;;;;;;711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;319;924;;131;
7;Pinneberg;1;235610;232899;;;179055;176188;;;1703;3384;1682;3193;177352;172804;177373;172995;80483;70458;72006;57203;64006;54950;55371;45540;3303;17018;9863;28640;6985;11794;8910;13412;11324;16143;15291;20978;;;;;3225;;3370;3659;1260;1912;1319;1743;;;1271;;;;;;;;;;;;;;;;;;;;665;1571;;;;;;;;;;;;;;;;;;;42;56;;;;;;;;;6766;;8479;;;;;;;;;;;;;;;;;;;;786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;529;;193;
8;Segeberg - Stormarn-Mitte;1;244240;240010;;;183250;180295;;;1735;3674;1660;3303;181515;176621;181590;176992;82471;70290;74161;58225;63998;54065;54691;44445;3722;20084;10449;31407;7003;12527;9112;14280;11141;16633;15695;21245;;;;;3546;;3686;3598;1190;1797;1307;1687;;;1534;;;;;;;;;;;;;;;;;;;;746;1814;;;;;;;;;;;;;;;;;;;46;58;;;;;;;;;6879;;9034;;;;;;;;;;;;;;;;;;1565;;1129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1225;;233;
